Gene,Value
AMN,30.18921333333333
AMN1,69.65179
AMOT,33.16607
AMOTL1,32.733815
AMOTL2,10.77145
AMPD1,7.96165
AMPD2,860.82473
AMPD3,144.159225
AMPH,13.25325
AMT,194.43501
AMZ1,48.84018999999999
AMZ2,413.1914
AMZ2P1,123.16208
ANAPC1,106.24074666666667
ANAPC10,43.976505
ANAPC11,197.52203500000002
ANAPC13,524.190035
ANAPC15,79.91152
ANAPC16,1262.2969075
ANAPC2,34.61412
ANAPC4,222.40008999999998
ANAPC5,260.6519083333333
ANAPC7,42.08351
ANG,10.86696
ANGEL1,112.85556666666666
ANGEL2,82.46387333333334
ANGPT1,36.89009333333333
ANGPT2,6.8828825
ANGPT4,113.58388
ANGPTL1,8.077583333333333
ANGPTL2,20.991623333333333
ANGPTL3,36.385376666666666
ANGPTL4,24.510125000000002
ANGPTL6,58.34414
ANGPTL7,9.95221
ANK1,156.8296257142857
ANK2,10.40598
ANK3,48.557468
ANKAR,14.625430000000001
ANKDD1A,88.330175
ANKEF1,32.460595
ANKFN1,18.636010000000002
ANKFY1,84.50958
ANKH,129.18087
ANKHD1,177.16375666666667
ANKIB1,128.79196333333334
ANKLE1,6.92486
ANKLE2,38.67781
ANKMY1,20.26229
ANKMY2,123.95409
ANKRA2,181.07843
ANKRD1,0.76532
ANKRD10,126.273405
ANKRD11,147.43672666666666
ANKRD12,221.2096525
ANKRD13A,856.98141
ANKRD13B,49.7661
ANKRD13C,39.987316
ANKRD13D,150.42128666666665
ANKRD16,17.289009999999998
ANKRD17,142.756105
ANKRD18A,15.055905
ANKRD18B,33.50154
ANKRD19P,61.33744
ANKRD2,8.3447
ANKRD20A11P,62.70746
ANKRD20A12P,51.27445
ANKRD20A5P,13.71782
ANKRD22,58.99638
ANKRD23,10.98722
ANKRD24,99.87055
ANKRD26,6.27358
ANKRD27,170.74286
ANKRD28,166.829515
ANKRD29,19.94005
ANKRD30A,12.19458
ANKRD30B,3.010405
ANKRD30BL,11.43837
ANKRD30BP2,20.26782
ANKRD30BP3,6.36353
ANKRD31,4.93126
ANKRD32,126.520545
ANKRD33,3.99179
ANKRD33B,45.10543
ANKRD34A,2.68882
ANKRD34C,7.43875
ANKRD35,10.92027
ANKRD36,48.77917
ANKRD36B,112.90446
ANKRD36C,10.57281
ANKRD37,25.427275
ANKRD39,13.35643
ANKRD40,61.321630000000006
ANKRD44,294.303312
ANKRD45,12.5723
ANKRD46,86.31754000000001
ANKRD49,394.80726
ANKRD50,23.79262
ANKRD52,36.7989
ANKRD53,34.324960000000004
ANKRD54,14.412325000000001
ANKRD55,746.70951
ANKRD6,29.531655
ANKRD60,75.0014
ANKRD7,14.26738
ANKRD9,52.76973666666667
ANKS1A,90.70066
ANKS1B,12.865469999999998
ANKS3,18.20898
ANKS4B,2.9538
ANKS6,21.316895000000002
ANKZF1,160.6788
ANLN,2.70275
ANO1,9.79337
ANO10,48.10599
ANO2,6.929595
ANO3,0.48041
ANO4,22.825783333333334
ANO5,4.18413
ANO6,245.980955
ANO7,78.79989
ANO8,14.79147
ANO9,27.23239
ANP32A,743.5335500000001
ANP32A-IT1,85.65218
ANP32B,2445.14682
ANP32C,9.65803
ANP32D,0.41786
ANP32E,262.4862033333333
ANPEP,297.88317
ANTXR1,29.008108333333336
ANTXR2,219.71525499999998
ANXA1,572.75172
ANXA10,15.35611
ANXA11,612.9579866666667
ANXA13,15.59452
ANXA2,905.061254
ANXA2P1,47.76292
ANXA2P2,542.20805
ANXA2P3,37.81294
ANXA2R,164.46461
ANXA3,518.55133
ANXA4,174.823865
ANXA5,513.35038
ANXA6,208.82711
ANXA7,583.790405
ANXA8,32.94948
ANXA9,5.034315
AOAH,423.5079
AOC1,18.18891
AOC2,30.49412
